# 20171213 Pull from Ensembl biomart
# Dataset: Mouse genes (GRCm38.p5)
# Filters: With miRBase ID(s): Only
# Attributes: miRBase accession
# Attributes: Gene stable ID
# miRBase accession	Gene stable ID
MI0005471	ENSMUSG00000096628
MI0022833	ENSMUSG00000099290
MI0004668	ENSMUSG00000076028
MI0025029	ENSMUSG00000098443
MI0008322	ENSMUSG00000084590
MI0014092	ENSMUSG00000092659
MI0023718	ENSMUSG00000098989
MI0016963	ENSMUSG00000105841
MI0000578	ENSMUSG00000065444
MI0005203	ENSMUSG00000076450
MI0009960	ENSMUSG00000089219
MI0000397	ENSMUSG00000076983
MI0014108	ENSMUSG00000106465
MI0016976	ENSMUSG00000106199
MI0004131	ENSMUSG00000076120
MI0000162	ENSMUSG00000104858
MI0022787	ENSMUSG00000099165
MI0004127	ENSMUSG00000076067
MI0000172	ENSMUSG00000065495
MI0014104	ENSMUSG00000105458
MI0000557	ENSMUSG00000092770
MI0022802	ENSMUSG00000099267
MI0005480	ENSMUSG00000077851
MI0018012	ENSMUSG00000093060
MI0022829	ENSMUSG00000098608
MI0005207	ENSMUSG00000077127
MI0026016	ENSMUSG00000098344
MI0022874	ENSMUSG00000099060
MI0026027	ENSMUSG00000098498
MI0026053	ENSMUSG00000098498
MI0000175	ENSMUSG00000065538
MI0005555	ENSMUSG00000077001
MI0022746	ENSMUSG00000098487
MI0000688	ENSMUSG00000065416
MI0004708	ENSMUSG00000106479
MI0022774	ENSMUSG00000098881
MI0025017	ENSMUSG00000098996
MI0025018	ENSMUSG00000098996
MI0004650	ENSMUSG00000076128
MI0023709	ENSMUSG00000105142
MI0000243	ENSMUSG00000065549
MI0014704	ENSMUSG00000092917
MI0005548	ENSMUSG00000077872
MI0025036	ENSMUSG00000098765
MI0004702	ENSMUSG00000070108
MI0004412	ENSMUSG00000092952
MI0025043	ENSMUSG00000098521
MI0000147	ENSMUSG00000065396
MI0000730	ENSMUSG00000065491
MI0022783	ENSMUSG00000098282
MI0022823	ENSMUSG00000098499
MI0005502	ENSMUSG00000106608
MI0009927	ENSMUSG00000089371
MI0022907	ENSMUSG00000099017
MI0021898	ENSMUSG00000098258
MI0018029	ENSMUSG00000092761
MI0025037	ENSMUSG00000105165
MI0001165	ENSMUSG00000065433
MI0022872	ENSMUSG00000098580
MI0022753	ENSMUSG00000105468
MI0022815	ENSMUSG00000098586
MI0031752	ENSMUSG00000098586
MI0016970	ENSMUSG00000092639
MI0026021	ENSMUSG00000098269
MI0021927	ENSMUSG00000098938
MI0022928	ENSMUSG00000098483
MI0026020	ENSMUSG00000098972
MI0014053	ENSMUSG00000096027
MI0014059	ENSMUSG00000096027
MI0014062	ENSMUSG00000096027
MI0014069	ENSMUSG00000096027
MI0014072	ENSMUSG00000096027
MI0014074	ENSMUSG00000096027
MI0009952	ENSMUSG00000088373
MI0004648	ENSMUSG00000105333
MI0000564	ENSMUSG00000093007
MI0014106	ENSMUSG00000093042
MI0022909	ENSMUSG00000098267
MI0000232	ENSMUSG00000076379
MI0000632	ENSMUSG00000065429
MI0000719	ENSMUSG00000076062
MI0022763	ENSMUSG00000099292
MI0023724	ENSMUSG00000105778
MI0000156	ENSMUSG00000065484
MI0022887	ENSMUSG00000098319
MI0000236	ENSMUSG00000065581
MI0000221	ENSMUSG00000065500
MI0026035	ENSMUSG00000098957
MI0026044	ENSMUSG00000098623
MI0021895	ENSMUSG00000099293
MI0014101	ENSMUSG00000092652
MI0005500	ENSMUSG00000095782
MI0005501	ENSMUSG00000095782
MI0016966	ENSMUSG00000104794
MI0022923	ENSMUSG00000106145
MI0022968	ENSMUSG00000098416
MI0018015	ENSMUSG00000093003
MI0000583	ENSMUSG00000065586
MI0004673	ENSMUSG00000076118
MI0004682	ENSMUSG00000076119
MI0000225	ENSMUSG00000065619
MI0000235	ENSMUSG00000065395
MI0022890	ENSMUSG00000098531
MI0005489	ENSMUSG00000077954
MI0022786	ENSMUSG00000098380
MI0000404	ENSMUSG00000065492
MI0000731	ENSMUSG00000065415
MI0019188	ENSMUSG00000093599
MI0017931	ENSMUSG00000104884
MI0018045	ENSMUSG00000092696
MI0009957	ENSMUSG00000088113
MI0004646	ENSMUSG00000095697
MI0010690	ENSMUSG00000095697
MI0022925	ENSMUSG00000098671
MI0026027	ENSMUSG00000098931
MI0026053	ENSMUSG00000098931
MI0000142	ENSMUSG00000065475
MI0005507	ENSMUSG00000077972
MI0021588	ENSMUSG00000098612
MI0006299	ENSMUSG00000093791
MI0022915	ENSMUSG00000099042
MI0002398	ENSMUSG00000070078
MI0021914	ENSMUSG00000098493
MI0014029	ENSMUSG00000092673
MI0021868	ENSMUSG00000098588
MI0021867	ENSMUSG00000098347
MI0008324	ENSMUSG00000084592
MI0004694	ENSMUSG00000076042
MI0025006	ENSMUSG00000098431
MI0001642	ENSMUSG00000065427
MI0025002	ENSMUSG00000099185
MI0021908	ENSMUSG00000099169
MI0022933	ENSMUSG00000098473
MI0000692	ENSMUSG00000093011
MI0030343	ENSMUSG00000092765
MI0006298	ENSMUSG00000080411
MI0023731	ENSMUSG00000098981
MI0021950	ENSMUSG00000098887
MI0025039	ENSMUSG00000098280
MI0004524	ENSMUSG00000092847
MI0019183	ENSMUSG00000093515
MI0024988	ENSMUSG00000105847
MI0000718	ENSMUSG00000076256
MI0003493	ENSMUSG00000070084
MI0022353	ENSMUSG00000098441
MI0004707	ENSMUSG00000076127
MI0014111	ENSMUSG00000093219
MI0000702	ENSMUSG00000065555
MI0022356	ENSMUSG00000098300
MI0021905	ENSMUSG00000099095
MI0022901	ENSMUSG00000098661
MI0005552	ENSMUSG00000077928
MI0014078	ENSMUSG00000077113
MI0019191	ENSMUSG00000093757
MI0005484	ENSMUSG00000076972
MI0005520	ENSMUSG00000077980
MI0021585	ENSMUSG00000099176
MI0000794	ENSMUSG00000065438
MI0023726	ENSMUSG00000106580
MI0004634	ENSMUSG00000104755
MI0000146	ENSMUSG00000065530
MI0014026	ENSMUSG00000093273
MI0000249	ENSMUSG00000065559
MI0014044	ENSMUSG00000093046
MI0016997	ENSMUSG00000093298
MI0004651	ENSMUSG00000076270
MI0016967	ENSMUSG00000092633
MI0004300	ENSMUSG00000080331
MI0014047	ENSMUSG00000104890
MI0020958	ENSMUSG00000104890
MI0014090	ENSMUSG00000093097
MI0026041	ENSMUSG00000098388
MI0021955	ENSMUSG00000098726
MI0001525	ENSMUSG00000070072
MI0026026	ENSMUSG00000099245
MI0006127	ENSMUSG00000076946
MI0001524	ENSMUSG00000070080
MI0000555	ENSMUSG00000065432
MI0019317	ENSMUSG00000095154
MI0031121	ENSMUSG00000106236
MI0014053	ENSMUSG00000095222
MI0014059	ENSMUSG00000095222
MI0014062	ENSMUSG00000095222
MI0014069	ENSMUSG00000095222
MI0014072	ENSMUSG00000095222
MI0014074	ENSMUSG00000095222
MI0005002	ENSMUSG00000070075
MI0004660	ENSMUSG00000076218
MI0006283	ENSMUSG00000080662
MI0021584	ENSMUSG00000098408
MI0022881	ENSMUSG00000098454
MI0019187	ENSMUSG00000093690
MI0000229	ENSMUSG00000065532
MI0022762	ENSMUSG00000106600
MI0016979	ENSMUSG00000093140
MI0005498	ENSMUSG00000096504
MI0005499	ENSMUSG00000096504
MI0009922	ENSMUSG00000089555
MI0000551	ENSMUSG00000065523
MI0000552	ENSMUSG00000065546
MI0000649	ENSMUSG00000065556
MI0021924	ENSMUSG00000098780
MI0003521	ENSMUSG00000076052
MI0022944	ENSMUSG00000105438
MI0022781	ENSMUSG00000098704
MI0005481	ENSMUSG00000077847
MI0023725	ENSMUSG00000104840
MI0000701	ENSMUSG00000065583
MI0006285	ENSMUSG00000080586
MI0005502	ENSMUSG00000096113
MI0014063	ENSMUSG00000096113
MI0014070	ENSMUSG00000096113
MI0018022	ENSMUSG00000092868
MI0014093	ENSMUSG00000093348
MI0021944	ENSMUSG00000098730
MI0022930	ENSMUSG00000098582
MI0004644	ENSMUSG00000076236
MI0004126	ENSMUSG00000076318
MI0018027	ENSMUSG00000093292
MI0006290	ENSMUSG00000080406
MI0023706	ENSMUSG00000098544
MI0014056	ENSMUSG00000095198
MI0014065	ENSMUSG00000095198
MI0014076	ENSMUSG00000095198
MI0004215	ENSMUSG00000076454
MI0016973	ENSMUSG00000092985
MI0023708	ENSMUSG00000099222
MI0021886	ENSMUSG00000098276
MI0010750	ENSMUSG00000089357
MI0000571	ENSMUSG00000065611
MI0004611	ENSMUSG00000076376
MI0021928	ENSMUSG00000099030
MI0009941	ENSMUSG00000089151
MI0003519	ENSMUSG00000076241
MI0022860	ENSMUSG00000098655
MI0003517	ENSMUSG00000072837
MI0014053	ENSMUSG00000094688
MI0014059	ENSMUSG00000094688
MI0014062	ENSMUSG00000094688
MI0014069	ENSMUSG00000094688
MI0014072	ENSMUSG00000094688
MI0014074	ENSMUSG00000094688
MI0003484	ENSMUSG00000070140
MI0000605	ENSMUSG00000065577
MI0022815	ENSMUSG00000098621
MI0031752	ENSMUSG00000098621
MI0004295	ENSMUSG00000076335
MI0022936	ENSMUSG00000098361
MI0004123	ENSMUSG00000076275
MI0003492	ENSMUSG00000070128
MI0022771	ENSMUSG00000104996
MI0016971	ENSMUSG00000105399
MI0022927	ENSMUSG00000099062
MI0000716	ENSMUSG00000065597
MI0025035	ENSMUSG00000105799
MI0022834	ENSMUSG00000098346
MI0022798	ENSMUSG00000099110
MI0021878	ENSMUSG00000098876
MI0003491	ENSMUSG00000070074
MI0022803	ENSMUSG00000099180
MI0030344	ENSMUSG00000092879
MI0014094	ENSMUSG00000077869
MI0021583	ENSMUSG00000098973
MI0022848	ENSMUSG00000099093
MI0000694	ENSMUSG00000065462
MI0000974	ENSMUSG00000065562
MI0018006	ENSMUSG00000093061
MI0022776	ENSMUSG00000098600
MI0022892	ENSMUSG00000098334
MI0000652	ENSMUSG00000106348
MI0021937	ENSMUSG00000098619
MI0024983	ENSMUSG00000099119
MI0000590	ENSMUSG00000065418
MI0022913	ENSMUSG00000098593
MI0000167	ENSMUSG00000105196
MI0026051	ENSMUSG00000099070
MI0004155	ENSMUSG00000105972
MI0006291	ENSMUSG00000080580
MI0014086	ENSMUSG00000092988
MI0008323	ENSMUSG00000084651
MI0000722	ENSMUSG00000065414
MI0022846	ENSMUSG00000098904
MI0001151	ENSMUSG00000065443
MI0002400	ENSMUSG00000070071
MI0001730	ENSMUSG00000104813
MI0021960	ENSMUSG00000104813
MI0026048	ENSMUSG00000099145
MI0022840	ENSMUSG00000098844
MI0014102	ENSMUSG00000093221
MI0006294	ENSMUSG00000080575
MI0005510	ENSMUSG00000078025
MI0004703	ENSMUSG00000076251
MI0022784	ENSMUSG00000098579
MI0022819	ENSMUSG00000098458
MI0000158	ENSMUSG00000065537
MI0014047	ENSMUSG00000105118
MI0020958	ENSMUSG00000105118
MI0022934	ENSMUSG00000098646
MI0006279	ENSMUSG00000094297
MI0022841	ENSMUSG00000098363
MI0004196	ENSMUSG00000076396
MI0009917	ENSMUSG00000087820
MI0000565	ENSMUSG00000092995
MI0006303	ENSMUSG00000080468
MI0000401	ENSMUSG00000065589
MI0022355	ENSMUSG00000098866
MI0022822	ENSMUSG00000099006
MI0000573	ENSMUSG00000065513
MI0000388	ENSMUSG00000077815
MI0023722	ENSMUSG00000104566
MI0021926	ENSMUSG00000098882
MI0014042	ENSMUSG00000093169
MI0000619	ENSMUSG00000065600
MI0012528	ENSMUSG00000087855
MI0023712	ENSMUSG00000106578
MI0008321	ENSMUSG00000084535
MI0015984	ENSMUSG00000084535
MI0023711	ENSMUSG00000099237
MI0008327	ENSMUSG00000084514
MI0021902	ENSMUSG00000098533
MI0004698	ENSMUSG00000096098
MI0000623	ENSMUSG00000065417
MI0005518	ENSMUSG00000077042
MI0005514	ENSMUSG00000077025
MI0018007	ENSMUSG00000092998
MI0018030	ENSMUSG00000105913
MI0000259	ENSMUSG00000065409
MI0021961	ENSMUSG00000065409
MI0000250	ENSMUSG00000065452
MI0018016	ENSMUSG00000093327
MI0018014	ENSMUSG00000092677
MI0022754	ENSMUSG00000098376
MI0022817	ENSMUSG00000099152
MI0025010	ENSMUSG00000098285
MI0023720	ENSMUSG00000098381
MI0000693	ENSMUSG00000065446
MI0021945	ENSMUSG00000099279
MI0001649	ENSMUSG00000065575
MI0022811	ENSMUSG00000105138
MI0005492	ENSMUSG00000076976
MI0022764	ENSMUSG00000098592
MI0004689	ENSMUSG00000076012
MI0019195	ENSMUSG00000093763
MI0026038	ENSMUSG00000099275
MI0004258	ENSMUSG00000076286
MI0003537	ENSMUSG00000076399
MI0022878	ENSMUSG00000099047
MI0022929	ENSMUSG00000098550
MI0005497	ENSMUSG00000077925
MI0009930	ENSMUSG00000088459
MI0021936	ENSMUSG00000098929
MI0018040	ENSMUSG00000092958
MI0021956	ENSMUSG00000098597
MI0026047	ENSMUSG00000099324
MI0000643	ENSMUSG00000065503
MI0000707	ENSMUSG00000065465
MI0000763	ENSMUSG00000070100
MI0000569	ENSMUSG00000065455
MI0014088	ENSMUSG00000093293
MI0021931	ENSMUSG00000098500
MI0009945	ENSMUSG00000077086
MI0000224	ENSMUSG00000076361
MI0023714	ENSMUSG00000098253
MI0006299	ENSMUSG00000080530
MI0000562	ENSMUSG00000093232
MI0000700	ENSMUSG00000065603
MI0000259	ENSMUSG00000105585
MI0021961	ENSMUSG00000105585
MI0000615	ENSMUSG00000065526
MI0022752	ENSMUSG00000099181
MI0018009	ENSMUSG00000092922
MI0000768	ENSMUSG00000065449
MI0022832	ENSMUSG00000099261
MI0000393	ENSMUSG00000077886
MI0000168	ENSMUSG00000065401
MI0004122	ENSMUSG00000076288
MI0006282	ENSMUSG00000080574
MI0022869	ENSMUSG00000098569
MI0009992	ENSMUSG00000088559
MI0000797	ENSMUSG00000104582
MI0000257	ENSMUSG00000065445
MI0022835	ENSMUSG00000098568
MI0022785	ENSMUSG00000098263
MI0022866	ENSMUSG00000099202
MI0006300	ENSMUSG00000080653
MI0023729	ENSMUSG00000105381
MI0009936	ENSMUSG00000088985
MI0009990	ENSMUSG00000088148
MI0014032	ENSMUSG00000095147
MI0000177	ENSMUSG00000065397
MI0000223	ENSMUSG00000065423
MI0009949	ENSMUSG00000093336
MI0014053	ENSMUSG00000093907
MI0014059	ENSMUSG00000093907
MI0014062	ENSMUSG00000093907
MI0014069	ENSMUSG00000093907
MI0014072	ENSMUSG00000093907
MI0014074	ENSMUSG00000093907
MI0022847	ENSMUSG00000098651
MI0003532	ENSMUSG00000070141
MI0022766	ENSMUSG00000098474
MI0014080	ENSMUSG00000104741
MI0021921	ENSMUSG00000099218
MI0031120	ENSMUSG00000105030
MI0000586	ENSMUSG00000065536
MI0022756	ENSMUSG00000098414
MI0006301	ENSMUSG00000080556
MI0004661	ENSMUSG00000076033
MI0023541	ENSMUSG00000076033
MI0000630	ENSMUSG00000065568
MI0022932	ENSMUSG00000098907
MI0025000	ENSMUSG00000099163
MI0000609	ENSMUSG00000065607
MI0005206	ENSMUSG00000077092
MI0000400	ENSMUSG00000098807
MI0000607	ENSMUSG00000065543
MI0024989	ENSMUSG00000098516
MI0022825	ENSMUSG00000098339
MI0021907	ENSMUSG00000098401
MI0021888	ENSMUSG00000098607
MI0004680	ENSMUSG00000070077
MI0000392	ENSMUSG00000077903
MI0026037	ENSMUSG00000098922
MI0019189	ENSMUSG00000093539
MI0023735	ENSMUSG00000099031
MI0000729	ENSMUSG00000065609
MI0022831	ENSMUSG00000098389
MI0021958	ENSMUSG00000098984
MI0021875	ENSMUSG00000098379
MI0022266	ENSMUSG00000104740
MI0023727	ENSMUSG00000106154
MI0009946	ENSMUSG00000088606
MI0023736	ENSMUSG00000098937
MI0021891	ENSMUSG00000098448
MI0024987	ENSMUSG00000098359
MI0022354	ENSMUSG00000098771
MI0026045	ENSMUSG00000098856
MI0025011	ENSMUSG00000099153
MI0019193	ENSMUSG00000093480
MI0022789	ENSMUSG00000098790
MI0000580	ENSMUSG00000065613
MI0004633	ENSMUSG00000070103
MI0022849	ENSMUSG00000099238
MI0026031	ENSMUSG00000098863
MI0014056	ENSMUSG00000096587
MI0014065	ENSMUSG00000096587
MI0014076	ENSMUSG00000096587
MI0000159	ENSMUSG00000065399
MI0005495	ENSMUSG00000093187
MI0022921	ENSMUSG00000099080
MI0000166	ENSMUSG00000065474
MI0000247	ENSMUSG00000065507
MI0022857	ENSMUSG00000098890
MI0001447	ENSMUSG00000065579
MI0022838	ENSMUSG00000098413
MI0014079	ENSMUSG00000077991
MI0018031	ENSMUSG00000092745
MI0025027	ENSMUSG00000099172
MI0021897	ENSMUSG00000099158
MI0022804	ENSMUSG00000098631
MI0019198	ENSMUSG00000093618
MI0022772	ENSMUSG00000105932
MI0014100	ENSMUSG00000093215
MI0023728	ENSMUSG00000104804
MI0022855	ENSMUSG00000098824
MI0022879	ENSMUSG00000099254
MI0000712	ENSMUSG00000065412
MI0009921	ENSMUSG00000088015
MI0008316	ENSMUSG00000084564
MI0024984	ENSMUSG00000106264
MI0004659	ENSMUSG00000104758
MI0019185	ENSMUSG00000093408
MI0021922	ENSMUSG00000099203
MI0019181	ENSMUSG00000106347
MI0003717	ENSMUSG00000065482
MI0004693	ENSMUSG00000076144
MI0024999	ENSMUSG00000098885
MI0000710	ENSMUSG00000065471
MI0021879	ENSMUSG00000098504
MI0000690	ENSMUSG00000065494
MI0000163	ENSMUSG00000065569
MI0005506	ENSMUSG00000104933
MI0005553	ENSMUSG00000077931
MI0004688	ENSMUSG00000076060
MI0021934	ENSMUSG00000099005
MI0014706	ENSMUSG00000092752
MI0025021	ENSMUSG00000105379
MI0021892	ENSMUSG00000098482
MI0005470	ENSMUSG00000094184
MI0000246	ENSMUSG00000065574
MI0005506	ENSMUSG00000095269
MI0014112	ENSMUSG00000095269
MI0022795	ENSMUSG00000106169
MI0022744	ENSMUSG00000098752
MI0004306	ENSMUSG00000076444
MI0014699	ENSMUSG00000092880
MI0009963	ENSMUSG00000089432
MI0021951	ENSMUSG00000098756
MI0014020	ENSMUSG00000092781
MI0000562	ENSMUSG00000105621
MI0005513	ENSMUSG00000077021
MI0004485	ENSMUSG00000092815
MI0000625	ENSMUSG00000070101
MI0000703	ENSMUSG00000076066
MI0022759	ENSMUSG00000099283
MI0009966	ENSMUSG00000088248
MI0022852	ENSMUSG00000099091
MI0022876	ENSMUSG00000098731
MI0026042	ENSMUSG00000099078
MI0000173	ENSMUSG00000065612
MI0014053	ENSMUSG00000096492
MI0014059	ENSMUSG00000096492
MI0014062	ENSMUSG00000096492
MI0014069	ENSMUSG00000096492
MI0014072	ENSMUSG00000096492
MI0014074	ENSMUSG00000096492
MI0004674	ENSMUSG00000076222
MI0025016	ENSMUSG00000098879
MI0021889	ENSMUSG00000098252
MI0001730	ENSMUSG00000070065
MI0021960	ENSMUSG00000070065
MI0022770	ENSMUSG00000098855
MI0006299	ENSMUSG00000093807
MI0022938	ENSMUSG00000098787
MI0004120	ENSMUSG00000080356
MI0022924	ENSMUSG00000099131
MI0026043	ENSMUSG00000098823
MI0022769	ENSMUSG00000099259
MI0021896	ENSMUSG00000099308
MI0022908	ENSMUSG00000098540
MI0014084	ENSMUSG00000092827
MI0000587	ENSMUSG00000065553
MI0005550	ENSMUSG00000106425
MI0021959	ENSMUSG00000106425
MI0006299	ENSMUSG00000094267
MI0004418	ENSMUSG00000092867
MI0000567	ENSMUSG00000065403
MI0025017	ENSMUSG00000099059
MI0025018	ENSMUSG00000099059
MI0022896	ENSMUSG00000099258
MI0022790	ENSMUSG00000099058
MI0019190	ENSMUSG00000093746
MI0004132	ENSMUSG00000080441
MI0014022	ENSMUSG00000093080
MI0022837	ENSMUSG00000099230
MI0000389	ENSMUSG00000078008
MI0005450	ENSMUSG00000076338
MI0006299	ENSMUSG00000096510
MI0000550	ENSMUSG00000065505
MI0003716	ENSMUSG00000076252
MI0018019	ENSMUSG00000093278
MI0014085	ENSMUSG00000092695
MI0004641	ENSMUSG00000076117
MI0000256	ENSMUSG00000065402
MI0000244	ENSMUSG00000065404
MI0000152	ENSMUSG00000065472
MI0022906	ENSMUSG00000098353
MI0022969	ENSMUSG00000106328
MI0023732	ENSMUSG00000099140
MI0021881	ENSMUSG00000098851
MI0021862	ENSMUSG00000098734
MI0014081	ENSMUSG00000092832
MI0022893	ENSMUSG00000098583
MI0025038	ENSMUSG00000106340
MI0000559	ENSMUSG00000065557
MI0022839	ENSMUSG00000098293
MI0005500	ENSMUSG00000095006
MI0005501	ENSMUSG00000095006
MI0005205	ENSMUSG00000077119
MI0021940	ENSMUSG00000099321
MI0022894	ENSMUSG00000098762
MI0006278	ENSMUSG00000078060
MI0008314	ENSMUSG00000104797
MI0021906	ENSMUSG00000098315
MI0000696	ENSMUSG00000065590
MI0000153	ENSMUSG00000065540
MI0005502	ENSMUSG00000096239
MI0014060	ENSMUSG00000096239
MI0014063	ENSMUSG00000096239
MI0014067	ENSMUSG00000096239
MI0014070	ENSMUSG00000096239
MI0014054	ENSMUSG00000104652
MI0014055	ENSMUSG00000104652
MI0014058	ENSMUSG00000104652
